/* DATA DESCRIPTION:
Citation:	Konfirst, Matt A; Kuhn, Gerhard; Monien, Donata; Scherer, Reed (2011): Relative abundance of diatom species in core AND1-1B, 363.73 to 459.77 m. Dataset #757322 (DOI registration in progress)
Reference(s):	Konfirst, Matt A; Kuhn, Gerhard; Monien, Donata; Scherer, Reed (2011): Diatom abundance changes as indicators of cyclic variation in early Pliocene Antarctic climate, as recorded in the ANDRILL AND-1B drill core. Data submitted 2011-02-14, Palaeogeography Palaeoclimatology Palaeoecology, submitted
Project(s):	Antarctic Geological Drilling (ANDRILL) (URI: http://www.andrill.org/)
Coverage:	LATITUDE: -77.889442 * LONGITUDE: 167.089328
	MINIMUM DEPTH, sediment: 363.7 m * MAXIMUM DEPTH, sediment: 459.8 m
Event(s):	AND1-1B * LATITUDE: -77.889442 * LONGITUDE: 167.089328 * DATE/TIME START: 2006-10-31T00:00:00 * DATE/TIME END: 2006-12-26T00:00:00 * RECOVERY: 1284.85 m * CAMPAIGN: MIS (McMurdo Ice Shelf) (URI: hdl:10013/epic.28735.d001) * BASIS: McMurdo Station (URI: http://www.antarcticconnection.com/antarctic/stations/mcmurdo.shtml) * DEVICE: Drilling * COMMENT: Drilled through shelf ice, thickness of ice ~82 m
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Thalassiothrix antarctica [%] (T. antarctica) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Thalassionema spp. [%] (Thalassionema spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Eucampia antarctica [%] (E. antarctica) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Dactyliosolen, girdle bands [%] (Dactyliosolen gird ban) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Chaetoceros spp. [%] (Chaetoceros spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Dictyocha spp. [%] (Dictyocha spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Distephanus spp. [%] (Distephanus spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Shionodiscus tetraoestrupii [%] (S. tetraoestrupii) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Rouxia spp. [%] (Rouxia spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Diatoms [#/g] (Diatoms) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Rouxia index (RI) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Diatom index (Diatom index) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de) * COMMENT: warm sp. - cold sp.
	Age model [ka] (Age model) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Age, comment (Age comment) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Foraminifera, benthic d18O [per mil PDB] (Foram bent d18O) * PI: Lisiecki, Lorraine E * METHOD: stacked * COMMENT: based on 57 globally distributed records, see doi:10.1594/PANGAEA.701576
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	3980 data points
*/
Depth [m]	T. antarctica [%]	Thalassionema spp. [%]	E. antarctica [%]	Dactyliosolen gird ban [%]	Chaetoceros spp. [%]	Dictyocha spp. [%]	Distephanus spp. [%]	S. tetraoestrupii [%]	Rouxia spp. [%]	Diatoms [#/g]	RI	Diatom index	Age model [ka]	Age comment	Foram bent d18O [per mil PDB]
363.73	2.1	8.7	1.5	2.3	24.1	0.0	4.6	17.2	17.5	11800000	0.206			LSU 4.1, DU XI, Subunit V	
363.92	1.5	6.2	1.2	1.3	35.9	0.0	5.7	15.3	14.3	4140000	0.172			LSU 4.1, DU XI, Subunit V	
364.18	0.8	5.3	0.3	0.3	29.2	0.0	2.0	17.8	13.7	3230000	0.146			LSU 4.1, DU XI, Subunit V	
364.39	0.2	6.3	0.2	1.3	32.1	0.0	4.7	17.3	21.6	11800000	0.25			LSU 4.1, DU XI, Subunit V	
364.84	1.2	7.0	0.2	0.8	28.0	0.0	1.7	18.0	9.8	1620000	0.088			LSU 4.1, DU XI, Subunit V	
365.23	0.8	8.5	0.7	1.3	21.5	0.0	6.0	18.7	5.8	2000000	0.104			LSU 4.1, DU XI, Subunit V	
365.49	2.5	9.2	1.5	3.0	23.9	0.0	5.3	19.3	6.7	2710000	0.141			LSU 4.1, DU XI, Subunit V	
365.67	0.5	6.3	1.5	2.0	26.8	0.0	2.7	18.3	6.3	3860000	0.099			LSU 4.1, DU XI, Subunit V	
366.02	2.2	11.5	0.2	2.0	26.1	0.0	4.7	21.6	5.5	2990000	0.102			LSU 4.1, DU XI, Subunit V	
366.33	0.5	8.2	0.8	1.7	22.9	0.0	5.7	18.7	5.5	3640000	0.117			LSU 4.1, DU XI, Subunit V	
366.57	0.5	7.2	1.5	3.0	30.7	0.0	2.0	22.0	6.3	3500000	0.096			LSU 4.1, DU XI, Subunit V	
366.86	1.2	9.3	2.3	3.7	24.6	0.0	6.0	21.3	6.2	2690000	0.128			LSU 4.1, DU XI, Subunit V	
367.11	0.7	10.0	0.3	2.0	28.9	0.0	4.0	12.7	7.2	3860000	0.106			LSU 4.1, DU XI, Subunit V	
367.35	2.0	12.0	1.3	1.7	22.1	0.0	2.0	20.3	7.5	2790000	0.128			LSU 4.1, DU XI, Subunit V	
367.55	1.0	6.5	1.5	1.7	20.2	0.0	7.7	13.3	9.2	3110000	0.15			LSU 4.1, DU XI, Subunit V	
367.65	0.2	7.3	1.0	1.7	29.9	0.0	1.3	22.0	7.2	2990000	0.09			LSU 4.1, DU XI, Subunit V	
367.95	1.0	11.7	0.0	3.0	35.3	0.0	3.6	20.2	13.4	12200000	0.106			LSU 4.1, DU XI, Subunit V	
368.21	1.1	7.6	0.8	1.3	38.5	0.0	2.3	15.2	17.2	11500000	0.193			LSU 4.1, DU XI, Subunit V	
368.48	0.8	4.8	0.7	1.3	24.7	0.0	5.3	18.9	11.8	6310000	0.174			LSU 4.1, DU XI, Subunit V	
368.76	1.5	10.3	1.2	2.3	33.3	0.0	1.7	17.3	14.3	6690000	0.181			LSU 4.1, DU XI, Subunit V	
369.00	1.0	4.3	0.5	2.3	30.2	0.0	7.0	16.0	10.8	3860000	0.178			LSU 4.1, DU XI, Subunit V	
369.21	1.3	9.6	1.0	1.0	35.8	0.0	1.3	19.2	15.3	7450000	0.15			LSU 4.1, DU XI, Subunit V	
369.46	1.2	7.7	1.0	1.7	28.7	0.0	2.3	15.3	11.5	3480000	0.157			LSU 4.1, DU XI, Subunit V	
369.76	0.2	17.3	0.0	1.3	32.5	0.0	3.0	17.3	14.6	6970000	0.207			LSU 4.1, DU XI, Subunit V	
369.97	1.3	4.2	2.0	3.0	28.2	0.0	5.3	14.7	12.0	4250000	0.151			LSU 4.1, DU XI, Subunit V	
370.21	1.0	12.0	1.0	1.7	37.7	0.0	3.7	21.6	6.7	3020000	0.074			LSU 4.1, DU XI, Subunit V	
370.45	1.7	4.7	0.3	1.7	27.0	0.0	2.7	17.7	7.8	2030000	0.129			LSU 4.1, DU XI, Subunit V	
370.65	0.8	6.3	0.8	1.3	32.4	0.0	4.3	17.0	8.8	3000000	0.138			LSU 4.1, DU XI, Subunit V	
370.87	1.0	5.5	1.2	2.7	18.9	0.0	4.0	15.3	10.3	2550000	0.188			LSU 4.1, DU XI, Subunit V	
371.11	0.3	11.0	0.8	2.7	34.6	0.0	4.0	15.0	8.2	2600000	0.101			LSU 4.1, DU XI, Subunit V	
