Depth, sediment [m]	AGE [ka BP]	Betula sect. Albae [#]	Larix [#]	Picea [#]	Pinus subgenus Diploxylon [#]	Pinaceae [#]	Betula sect. nanae [#]	Duschekia fruticosa [#]	Ephedra [#]	Ericales [#]	Ericales empetrum [#]	Ericales vaccinium [#]	Juniperus [#]	Pinus subgenus Haploxylon [#]	Ribes [#]	Salix [#]	Cyperaceae [#]	Poaceae [#]	Apiaceae [#]	Armeria [#]	Artemisia [#]	Asteraceae subfam. Asteroideae indeterminata [#]	Asteraceae subfam. Asteroideae matricaria [#]	Asteraceae subfam. Asteroideae saussurea [#]	Asteraceae subfam. Asteroideae senecio [#]	Asteraceae subfam. Cichorioideae [#]	Brassicaceae [#]	Caryophyllaceae indeterminata [#]	Caryophyllaceae cerastium [#]	Caryophyllaceae gypsophila [#]	Caryophyllaceae minuartia [#]	Caryophyllaceae stellaria holostea [#]	Chenopodiaceae [#]	Cuscuta [#]	Drosera [#]	Epilobium [#]	Fabaceae [#]	Galium [#]	Gentianaceae [#]	Geraniaceae [#]	Pollen, Indeterminata [#]	Lamiaceae [#]	Lamiaceae galeopsis [#]	Liliaceae [#]	Linum [#]	Papaveraceae [#]	Plantago [#]	Polemonium [#]	Polygonaceae [#]	Polygonaceae polygonum bistorta [#]	Polygonaceae polygonum viviparum [#]	Polygonaceae rumex [#]	Primulaceae [#]	Ranunculaceae [#]	Ranunculaceae pulsatilla [#]	Ranunculaceae thalictrum [#]	Rosaceae [#]@minus operc.	Rosaceae [#]@plus operc.	Rosaceae dryas [#]	Rosaceae potentilla [#]	Rosaceae sanguisorba officinalis [#]	Rutaceae [#]	Scrophulariaceae [#]	Scrophulariaceae pedicularis [#]	Saxifragaceae [#]	Valeriana  [#]	Valerianella [#]	Myriophyllum [#]	Potamogeton [#]	Botrychium [#]	Cystopteris fragilis [#]	Dryopteris filix-mas [#]	Encalypta [#]	Equisetum [#]	Huperzia selago [#]	Isoetes [#]	Lycopodium annotinum [#]	Lycopodium clavatum [#]	Osmundaceae [#]	Polypodiaceae [#]	Pteridium [#]	Riccia [#]	Selaginella rupestris [#]	Sphagnum [#]	Spores, trilete [#]	Woodsia-type [#]	Botryococcus [#]	Pediastrum [#]	Arcella [#]	Assulina muscorum [#]	Asco spore [#]	Copepoda spermatophore [#]	Delitschia [#]	cf. Endofragmiella sp. [#]	Gelasinospora sp. [#]	Geumannomyces [#]	Glomus [#]	Macrobiotus coronifer-islandicus [#]	Macrobiotus hufelandii [#]	Microthyrium sp. [#]	Podospora [#]	scalariform perforation plate [#]	Sordariales [#]	Spirogyra sp. [#]	Sporomiella [#]	Sporomiella spore [#]	Stomata [#]	Thekaphora [#]	Conifer-Tracheids [#]	Trichocladium asperum [#]	Pollen, indeterminata [#]@Type 8C	Pollen, indeterminata [#]@Type 74	Pollen, indeterminata [#]@Type 119	Pollen, indeterminata [#]@Type 187B	Pollen, indeterminata [#]@Type 225	Pollen, indeterminata [#]@Type 307B	Pollen, indeterminata [#]@Type 354	Pollen, indeterminata [#]@U2	Pollen, indeterminata [#]@U2a	Zoomorpha remains [#]	Chironomids [#]	Zygnemataceae [#]	Spores redeposited [#]	Betula redeposited [#]	Pinus redeposited [#]	Pollen total [#]	Marker, added [#]	Pollen per unit sediment mass [#/g]
0.05	0.223	20	7	5	166	0	141	96	0	0	0	1	0	1	0	1	20	22	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	1	0	0	2	0	0	1	10	0	0	99	10	0	0	1	24	0	0	1	0	0	0	0	0	0	7	0	0	0	97	0	0	0	0	0	0	2	0	750	0	24	0	15	25	1	0	0	0	0	508	68	35457
0.15	0.668	5	12	7	163	0	141	99	0	0	0	4	0	16	0	2	21	18	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	6	0	0	0	3	2	0	25	8	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	157	0	0	2	0	0	0	0	0	488	0	0	1	0	34	4	0	0	0	0	496	82	28709
0.25	1.226	3	3	3	193	1	196	95	0	1	0	2	0	89	0	10	18	13	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	2	0	0	2	1	0	0	123	3	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	200	1	0	1	0	0	0	0	0	300	0	8	0	1	23	0	0	0	0	0	633	59	50921
0.35	1.838	6	6	14	230	0	87	127	0	0	0	1	0	4	0	1	12	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	3	0	0	17	8	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	178	0	0	0	0	0	0	0	0	381	0	0	0	0	18	3	0	0	0	0	493	66	35453
0.45	2.851	6	7	5	176	0	243	158	0	1	0	3	0	49	0	7	32	16	0	0	6	0	0	0	0	0	12	1	0	0	0	0	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	3	0	0	2	4	0	0	220	7	0	0	4	4	0	0	0	0	0	0	0	1	0	6	0	0	0	180	0	0	0	0	0	0	0	0	460	0	0	0	32	15	0	0	0	0	0	747	66	53719
0.55	3.863	6	15	15	182	0	132	111	0	0	0	3	0	23	0	0	10	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	145	0	0	2	0	0	0	0	0	250	0	2	0	1	22	2	0	0	0	0	508	63	38271
0.65	4.876	0	17	0	119	0	170	70	0	1	0	0	1	2	0	8	30	25	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	12	0	0	0	2	0	0	0	9	0	0	58	14	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	159	0	0	2	0	0	0	0	0	228	0	0	1	0	4	2	0	0	0	0	447	45	47146
0.75	5.888	3	25	2	102	0	196	82	0	0	0	0	0	9	0	2	12	7	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	1	0	0	64	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	211	0	0	0	0	0	0	0	0	198	0	3	0	0	10	1	0	0	0	0	443	29	72503
0.81	6.295	2	16	4	69	0	174	76	0	0	0	0	0	4	0	4	10	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	1	0	0	82	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	2	0	0	0	0	0	189	0	0	1	0	2	0	1	0	0	0	366	19	91427
0.91	7.308	8	6	21	112	0	219	29	0	0	0	0	0	7	0	2	8	12	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	38	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	100	0	0	0	0	0	0	0	0	117	0	0	0	0	5	0	0	0	0	0	432	17	120610
