/* DATA DESCRIPTION:
Citation:	Rohardt, G (2002): Physical oceanography during cruise ANT-V/3 at CTD station PS10/490-1. Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.67741,
	In: Fahrbach, Eberhard; Rohardt, Gerd (2006): Physical oceanography during POLARSTERN Leg ANT-V/3 to the eastern Weddell Sea, Southern Ocean, Antarctica. Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.484628
Reference(s):	Schnack-Schiel, Sigrid B (1987): Die Winter-Expedition mit FS Polarstern in die Antarktis (ANT V/1-3) (The Winter-Expedition of RV Polarstern to the Antarctic (ANT V/1-3)). Reports on Polar Research, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, 39, 259 pp, hdl:10013/epic.10039.d001
Project(s):	Physical Oceanography @ AWI (AWI_PhyOce) (URI: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography/)
Coverage:	WEST: 2.2383 * EAST: 2.2383 * SOUTH: -58.0933 * NORTH: -58.0933
	DATE/TIME START: 1986-10-04T00:00:00 * DATE/TIME END: 1986-10-04T09:30:00
	MINIMUM DEPTH, water: 5.0 m * MAXIMUM DEPTH, water: 1978.3 m
Event(s):	PS10/490-1 * LATITUDE: -58.0933 * LONGITUDE: 2.2383 * ELEVATION: -4950.0 m * DATE/TIME: 1986-10-04T09:30:00 * DATE/TIME 2: 1986-10-04T00:00:00 * CAMPAIGN: ANT-V/3 (PS10) (URI: hdl:10013/epic.10039.d001) * BASIS: Polarstern (URI: http://www.awi.de/en/infrastructure/ships/polarstern/) * DEVICE: Bongo net * COMMENT: Haul No: 3/Max Depth: 200 m/
Parameter(s):	DEPTH, water [m] (Depth water) * Geocode
	Pressure, water [dbar] (Press) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069
	Temperature, water [deg C] (Temp) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069 * COMMENT: ITS-90
	Conductivity [mS/cm] (Cond) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069
	Salinity (Sal) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069
	Temperature, water, potential [deg C] (Tpot) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: calculated
	Density, sigma-theta (0) [kg/m**3] (Sigma-theta) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: calculated
Size:	2406 data points
*/
Depth water [m]	Press [dbar]	Temp [deg C]	Cond [mS/cm]	Sal	Tpot [deg C]	Sigma-theta [kg/m**3]
5.0	5	-1.8444	26.9534	34.2790	-1.8441	27.5959
9.9	10	-1.8444	26.9557	34.2790	-1.8442	27.5959
14.9	15	-1.8444	26.9580	34.2790	-1.8443	27.5959
19.8	20	-1.8434	26.9612	34.2790	-1.8434	27.5959
24.8	25	-1.8424	26.9643	34.2790	-1.8425	27.5959
29.7	30	-1.8434	26.9665	34.2800	-1.8436	27.5968
34.7	35	-1.8434	26.9695	34.2810	-1.8437	27.5975
39.6	40	-1.8434	26.9718	34.2810	-1.8438	27.5977
44.6	45	-1.8424	26.9749	34.2810	-1.8429	27.5975
49.6	50	-1.8414	26.9781	34.2810	-1.8419	27.5975
54.5	55	-1.8404	26.9805	34.2800	-1.8410	27.5967
59.5	60	-1.8404	26.9835	34.2810	-1.8411	27.5975
64.4	65	-1.8394	26.9859	34.2800	-1.8402	27.5967
69.4	70	-1.8394	26.9889	34.2810	-1.8403	27.5974
74.3	75	-1.8384	26.9921	34.2810	-1.8394	27.5975
79.3	80	-1.8374	26.9959	34.2820	-1.8385	27.5983
84.2	85	-1.8344	27.0000	34.2810	-1.8356	27.5974
89.2	90	-1.8344	27.0023	34.2810	-1.8357	27.5974
94.1	95	-1.8304	27.0093	34.2830	-1.8319	27.5989
99.1	100	-1.8314	27.0101	34.2820	-1.8330	27.5981
104.0	105	-1.8274	27.0164	34.2830	-1.8291	27.5988
109.0	110	-1.8224	27.0250	34.2860	-1.8242	27.6011
113.9	115	-1.7914	27.0572	34.2920	-1.7933	27.6052
118.9	120	-1.7774	27.0726	34.2940	-1.7794	27.6064
123.9	125	-1.7924	27.0603	34.2910	-1.7945	27.6044
128.8	130	-1.7754	27.0795	34.2950	-1.7776	27.6072
133.8	135	-1.7624	27.0947	34.2980	-1.7648	27.6093
138.7	140	-1.6154	27.2334	34.3180	-1.6181	27.6215
143.7	145	-1.4674	27.3782	34.3450	-1.4704	27.6389
148.6	150	-1.3653	27.4699	34.3510	-1.3686	27.6405
153.6	155	-1.1643	27.6567	34.3740	-1.1680	27.6522
158.5	160	-0.9542	27.8620	34.4110	-0.9585	27.6744
163.5	165	-0.7222	28.0858	34.4470	-0.7270	27.6942
168.4	170	-0.5321	28.2667	34.4720	-0.5374	27.7062
173.4	175	-0.5141	28.2842	34.4720	-0.5196	27.7053
178.3	180	-0.4461	28.3522	34.4830	-0.4519	27.7112
183.3	185	-0.4361	28.3644	34.4850	-0.4421	27.7123
188.2	190	-0.3251	28.4733	34.5020	-0.3314	27.7208
193.2	195	-0.0530	28.7499	34.5600	-0.0601	27.7542
198.1	200	-0.0170	28.7859	34.5640	-0.0243	27.7556
203.1	205	0.0650	28.8723	34.5830	0.0573	27.7666
208.0	210	0.0850	28.8939	34.5860	0.0771	27.7679
213.0	215	0.0950	28.9070	34.5890	0.0869	27.7699
217.9	220	0.1320	28.9476	34.5980	0.1236	27.7750
222.9	225	0.1850	29.0027	34.6080	0.1763	27.7803
227.8	230	0.2161	29.0406	34.6200	0.2070	27.7882
232.8	235	0.2821	29.1046	34.6270	0.2727	27.7902
237.7	240	0.2851	29.1125	34.6310	0.2755	27.7933
242.7	245	0.3191	29.1469	34.6350	0.3092	27.7946
247.6	250	0.3211	29.1517	34.6360	0.3110	27.7953
252.6	255	0.3191	29.1522	34.6360	0.3088	27.7954
257.5	260	0.3181	29.1529	34.6350	0.3076	27.7947
262.5	265	0.3191	29.1568	34.6360	0.3083	27.7954
267.4	270	0.3171	29.1566	34.6350	0.3061	27.7948
272.4	275	0.3181	29.1597	34.6350	0.3069	27.7948
277.3	280	0.3131	29.1570	34.6340	0.3017	27.7942
282.3	285	0.3111	29.1568	34.6330	0.2995	27.7936
287.2	290	0.3121	29.1607	34.6340	0.3003	27.7943
292.2	295	0.3091	29.1596	34.6330	0.2971	27.7937
297.1	300	0.3061	29.1586	34.6320	0.2939	27.7931
302.1	305	0.3061	29.1608	34.6320	0.2937	27.7931
307.0	310	0.3101	29.1673	34.6330	0.2974	27.7937
312.0	315	0.3051	29.1645	34.6320	0.2922	27.7932
316.9	320	0.3101	29.1726	34.6340	0.2970	27.7944
321.9	325	0.3091	29.1748	34.6350	0.2958	27.7954
326.8	330	0.3191	29.1886	34.6390	0.3055	27.7980
331.8	335	0.3351	29.2092	34.6450	0.3213	27.8020
336.7	340	0.3481	29.2264	34.6500	0.3340	27.8053
341.7	345	0.3471	29.2293	34.6520	0.3328	27.8070
346.6	350	0.3451	29.2299	34.6520	0.3306	27.8071
351.6	355	0.3531	29.2413	34.6550	0.3383	27.8091
356.5	360	0.3651	29.2576	34.6600	0.3501	27.8124
361.5	365	0.3721	29.2666	34.6610	0.3568	27.8129
366.4	370	0.3721	29.2689	34.6610	0.3566	27.8129
371.4	375	0.3721	29.2712	34.6610	0.3564	27.8129
376.3	380	0.3821	29.2850	34.6650	0.3661	27.8156
381.3	385	0.4081	29.3134	34.6700	0.3918	27.8180
386.2	390	0.4141	29.3216	34.6710	0.3975	27.8185
391.1	395	0.4171	29.3272	34.6720	0.4003	27.8192
396.1	400	0.4141	29.3276	34.6730	0.3971	27.8202
401.0	405	0.4041	29.3205	34.6720	0.3869	27.8199
406.0	410	0.4041	29.3236	34.6730	0.3867	27.8208
410.9	415	0.4051	29.3274	34.6740	0.3874	27.8215
415.9	420	0.4011	29.3263	34.6740	0.3832	27.8218
420.8	425	0.4011	29.3285	34.6740	0.3830	27.8218
425.8	430	0.3991	29.3291	34.6740	0.3807	27.8219
430.7	435	0.3981	29.3305	34.6740	0.3795	27.8220
435.7	440	0.3931	29.3284	34.6740	0.3743	27.8223
440.6	445	0.3921	29.3306	34.6750	0.3731	27.8232
445.6	450	0.3871	29.3278	34.6740	0.3679	27.8226
450.5	455	0.3741	29.3189	34.6740	0.3547	27.8235
455.4	460	0.3711	29.3186	34.6740	0.3515	27.8236
460.4	465	0.3661	29.3165	34.6740	0.3462	27.8240
465.3	470	0.3651	29.3179	34.6740	0.3450	27.8240
470.3	475	0.3651	29.3202	34.6740	0.3448	27.8240
475.2	480	0.3681	29.3250	34.6740	0.3475	27.8239
480.2	485	0.3651	29.3254	34.6750	0.3443	27.8248
485.1	490	0.3641	29.3261	34.6740	0.3431	27.8241
490.1	495	0.3621	29.3273	34.6750	0.3408	27.8251
495.0	500	0.3591	29.3270	34.6750	0.3376	27.8252
499.9	505	0.3551	29.3251	34.6740	0.3334	27.8247
504.9	510	0.3441	29.3179	34.6740	0.3222	27.8253
509.8	515	0.3341	29.3116	34.6740	0.3120	27.8259
514.8	520	0.3221	29.3035	34.6740	0.2998	27.8265
519.7	525	0.3161	29.3006	34.6740	0.2936	27.8269
524.7	530	0.3151	29.3020	34.6740	0.2924	27.8270
529.6	535	0.3131	29.3025	34.6740	0.2902	27.8271
534.6	540	0.3111	29.3031	34.6740	0.2879	27.8273
539.5	545	0.3101	29.3045	34.6740	0.2867	27.8274
544.4	550	0.3101	29.3074	34.6750	0.2865	27.8281
549.4	555	0.3031	29.3029	34.6740	0.2793	27.8278
554.3	560	0.2941	29.2975	34.6740	0.2701	27.8282
559.3	565	0.2931	29.2988	34.6740	0.2688	27.8284
564.2	570	0.2861	29.2951	34.6740	0.2616	27.8287
569.2	575	0.2851	29.2965	34.6740	0.2604	27.8289
574.1	580	0.2841	29.2978	34.6740	0.2592	27.8289
579.0	585	0.2841	29.3001	34.6740	0.2589	27.8289
584.0	590	0.2821	29.3006	34.6740	0.2567	27.8291
588.9	595	0.2811	29.3027	34.6750	0.2554	27.8300
593.9	600	0.2801	29.3041	34.6750	0.2542	27.8300
598.8	605	0.2791	29.3055	34.6750	0.2530	27.8301
603.8	610	0.2761	29.3043	34.6740	0.2497	27.8295
608.7	615	0.2711	29.3031	34.6750	0.2445	27.8306
613.6	620	0.2671	29.3019	34.6750	0.2403	27.8308
618.6	625	0.2651	29.3024	34.6750	0.2381	27.8309
