/* DATA DESCRIPTION:
Citation:	Grobe, H (1996): Sedimentology of core PS1648-1. doi:10.1594/PANGAEA.51692,
	In Supplement to: Grobe, Hannes; Mackensen, Andreas (1992): Late Quaternary climatic cycles as recorded in sediments from the Antarctic continental margin. In: Kennett, J P & Warnke, D (eds.), The Antarctic Paleoenvironment: a perspective on Global Change, Antarctic Research Series, 56, 349-376, hdl:10013/epic.11662.d001
Reference(s):	Grobe, Hannes; Fütterer, Dieter K; Hubberten, Hans-Wolfgang; Kuhn, Gerhard; Mackensen, Andreas (1993): Zur Entwicklung der spätquartären Sedimentfazies im Südpolarmeer. Zeitschrift der Deutschen Geologischen Gesellschaft, 144, 330-351, http://www.schweizerbart.de/pubs/journals/0012-0189/paper/144/330
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: http://www.awi.de/en/research/research_divisions/geosciences/marine_geology_and_paleontology/)
Coverage:	WEST: -6.5247 * EAST: -6.5247 * SOUTH: -69.7400 * NORTH: -69.7400
	DATE/TIME START: 1988-03-01T17:26:00 * DATE/TIME END: 1988-03-01T17:26:00
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 8.6 m
Event(s):	PS1648-1 (PS12/536) * LATITUDE: -69.7400 * LONGITUDE: -6.5247 * ELEVATION: -2529.0 m * DATE/TIME: 1988-03-01T17:26:00 * RECOVERY: 8.63 m * PENETRATION: 10.80 m * LOCATION: Atka Bay * CAMPAIGN: ANT-VI/3 (PS12) (URI: hdl:10013/epic.10058.d001) * BASIS: Polarstern (URI: http://www.awi.de/en/infrastructure/ships/polarstern/) * DEVICE: Gravity corer (Kiel type)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Water content of wet mass [%] (Water wm) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de)
	Density, grain [g/ccm] (Density grain) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Pycnometer (Micromeritics)
	Density [g/ccm] (Density) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Pycnometer (Micromeritics)
	Calcium carbonate [%] (CaCO3) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Carbon, organic, total [%] (TOC) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Sulphur [%] (S) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Chlorine [%] (Cl) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: XRF (x-ray fluorescence)
	Ice rafted debris, general [arbitrary unit] (IRD) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * COMMENT: calculated from IRD counting
	Sand [%] (Sand) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Grain size, sieving/settling tube
	Silt [%] (Silt) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Grain size, sieving/settling tube
	Size fraction < 0.002 mm, clay [%] (<2 µm) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Grain size, sieving/settling tube
	Mean, grain size [phi] (Mean) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Skewness (Skew) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Kurtosis (Kurt) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Sorting [phi] (Sort) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Silt-Mean [phi] (Silt mean) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Silt-Skewness (Silt skew) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Silt-Kurtosis (Silt kurt) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Silt-Sorting [phi] (Silt sort) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Percentile 05 [phi] (Perc05) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Percentile 16 [phi] (Perc16) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Percentile 25 [phi] (Perc25) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Percentile 50 [phi] (Perc50) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Smectite [%] (Smec) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Illite [%] (Illite) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Chlorite [%] (Chl) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Kaolinite [%] (Kaol) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Talc (Area, 9.37Å) [cps] (Talc A 9.37Å) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Amphibole [%] (Amph) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Feldspar [%] (Feldspar) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Radiolarians [%] (Radiolarians) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Counting >63 µm fraction
	Radiolarians [%] (Radiolarians) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Coarse fraction/modal analysis
	Neogloboquadrina pachyderma sinistralis, d18O [per mil PDB] (N. pachyderma s d18O) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Neogloboquadrina pachyderma sinistralis, d13C [per mil PDB] (N. pachyderma s d13C) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Mass spectrometer Finnigan MAT 251
Size:	2978 data points
*/
Depth [m]	Water wm [%]	Density grain [g/ccm]	Density [g/ccm]	CaCO3 [%]	TOC [%]	S [%]	Cl [%]	IRD [arbitrary unit]	Sand [%]	Silt [%]	<2 µm [%]	Mean [phi]	Skew	Kurt	Sort [phi]	Silt mean [phi]	Silt skew	Silt kurt	Silt sort [phi]	Perc05 [phi]	Perc16 [phi]	Perc25 [phi]	Perc50 [phi]	Smec [%]	Illite [%]	Chl [%]	Kaol [%]	Talc A 9.37Å [cps]	Amph [%]	Feldspar [%]	Radiolarians [%] (Counting >63 µm fraction)	Radiolarians [%] (Coarse fraction/modal analysis)	N. pachyderma s d18O [per mil PDB]	N. pachyderma s d13C [per mil PDB]
0.01	45.22	2.707	2.68	0.89	0.259	0.083	0.490	0.0	3.70	46.84	49.46	8.687	-0.108	0.773	2.384	6.92	0.03	0.83	1.095	4.72	6.06	6.70	8.84	6.7	78.1	14.0	1.2	6	2.86	24.10	16.00	0.59	3.538	0.722
0.10	41.37	2.729	2.71	0.44	0.194	0.064	0.456	0.0	1.87	43.14	54.99	8.967	-0.183	0.757	2.268	6.95	-0.00	0.85	1.161	5.27	6.34	7.06	9.28	4.2	78.4	14.7	2.7	8	2.86	23.92	10.00	0.19	3.428	0.853
0.20	41.13	2.742	2.72	0.60	0.196	0.059	0.421	0.0	1.04	40.92	58.04	9.027	-0.235	0.770	2.309	6.86	-0.01	0.86	1.140	5.15	6.32	7.11	9.43	3.9	75.0	19.4	1.7	6	2.63	18.43	28.00	0.29		
0.30	43.54	2.721	2.70	0.71	0.202	0.060	0.449	0.0	1.30	43.27	55.44	9.120	-0.123	0.808	2.072	7.31	-0.12	0.81	1.068	5.73	6.81	7.50	9.30	4.8	75.9	17.6	1.7	7	2.92	20.00	18.00	0.23		
0.40	44.15	2.711	2.69	0.50	0.251	0.061	0.471	0.0	1.28	40.94	57.79	9.063	-0.230	0.809	2.273	6.97	-0.07	0.84	1.239	5.18	6.43	7.30	9.44	7.1	74.2	18.7	0.0	5	2.42	27.16	26.00	0.33		
0.50	42.81	2.754	2.73	0.43	0.225	0.058	0.453	0.6	0.84	46.28	52.89	8.930	-0.103	0.767	2.178	7.07	-0.08	0.85	1.099	5.49	6.48	7.15	9.10	6.5	65.4	26.2	1.8	8	2.72	22.19	4.00	0.03	4.122	0.499
0.57	46.50	2.771	2.74	0.36	0.233	0.063	0.442	0.2	0.75	40.90	58.35	9.203	-0.182	0.803	2.110	7.21	-0.12	0.84	1.105	5.67	6.80	7.54	9.48	9.3	58.4	31.6	0.8	7	2.31	18.73	4.00	0.03		
0.62	48.88	2.765	2.74	0.41	0.239	0.059	0.491	0.6	0.60	37.64	61.76	9.320	-0.205	0.811	2.078	7.20	-0.14	0.88	1.077	5.76	6.95	7.67	9.62	12.4	57.9	28.3	1.4	10	3.06	24.42	0.00	0.00		
0.70	42.26	2.774	2.75	0.40	0.243	0.057	0.475	0.6	0.63	41.17	58.20	9.117	-0.202	0.789	2.203	7.00	-0.09	0.85	1.157	5.42	6.58	7.34	9.44	11.6	65.1	22.5	0.8	7	3.03	29.79	2.00	0.01		
0.80	40.31	2.782	2.76	0.72	0.225	0.052	0.411	0.8	1.22	40.93	57.85	9.103	-0.209	0.822	2.230	7.03	-0.16	0.87	1.188	5.23	6.57	7.37	9.42	11.8	63.8	21.2	3.2	8	4.12	26.03	2.00	0.02	3.867	0.587
0.90	37.70	2.797	2.78	0.54	0.206	0.051	0.328	0.0	15.44	38.46	46.10	7.820	-0.178	0.640	3.092	6.22	0.14	0.69	1.506	3.20	4.07	4.85	8.29	7.6	62.3	26.1	4.0	5	2.61	17.85	0.00	0.00		
1.00	34.37	2.803	2.78	0.80	0.147	0.052	0.319	0.0	46.77	28.93	24.30	5.800	0.600	0.715	3.210	5.66	0.55	0.96	1.398	2.29	2.96	3.32	4.29	5.7	63.4	30.5	0.4	6	2.43	17.18	0.00	0.00	4.143	0.287
1.10	41.54	2.766	2.74	1.82	0.154	0.053	0.447	0.2	3.62	34.33	62.04	9.193	-0.303	0.952	2.355	7.08	-0.18	0.84	1.270	4.52	6.58	7.61	9.62	7.9	64.2	23.9	4.0	6	2.39	20.63	0.00	0.00	4.711	0.302
1.20	43.52	2.775	2.75	1.87	0.189	0.053	0.347	1.0	7.33	37.03	55.64	8.720	-0.331	0.897	2.729	6.85	-0.18	0.78	1.438	3.56	5.55	6.86	9.32	7.4	59.2	33.0	0.4	8	2.71	20.61	0.00	0.00	4.981	0.223
1.30	33.70	2.770	2.75	1.82	0.116	0.048	0.307	0.0	9.64	49.70	40.67	7.620	0.068	0.659	2.902	6.00	0.39	0.79	1.413	3.45	4.47	4.98	7.45	8.4	63.5	27.2	0.8	7	2.36	21.11	0.00	0.00	4.954	0.140
1.40	32.91	2.751	2.74	1.66	0.099	0.045	0.313	0.0	30.85	42.30	26.85	6.297	0.552	0.655	3.020	5.61	0.48	1.08	1.343	3.06	3.51	3.84	5.02	9.9	60.4	29.8	0.0	8	3.20	23.55	0.00	0.00	4.935	0.037
1.50	39.04	2.764	2.74	2.49	0.122	0.053	0.387	1.0	8.89	41.89	49.23	8.277	-0.265	0.728	2.888	6.52	0.07	0.70	1.475	3.44	4.82	5.74	8.85	6.8	66.6	26.4	0.3	6	2.51	21.92	0.00	0.00	4.838	0.050
1.60	36.89	2.758	2.74	2.31	0.100	0.061	0.396	3.2	7.56	33.07	59.37	8.907	-0.389	1.034	2.776	6.97	-0.21	0.79	1.393	2.95	5.82	7.22	9.54	4.4	69.8	25.8	0.0	7	2.43	20.66	0.00	0.00	4.387	0.094
1.70	42.73	2.759	2.74	2.36	0.131	0.054	0.429	1.2	2.04	32.43	65.53	9.480	-0.245	0.941	2.057	7.34	-0.20	0.82	1.148	5.56	7.22	8.09	9.78	4.5	68.4	27.1	0.0	6	2.80	19.91	0.00	0.00	4.542	0.194
1.80	41.30	2.765	2.74	4.81	0.131	0.054	0.421	1.4	2.97	31.86	65.17	9.470	-0.252	0.947	2.081	7.38	-0.20	0.85	1.114	5.40	7.21	8.03	9.77	3.1	71.3	25.3	0.3	6	2.34	16.80	0.00	0.00	4.626	0.208
1.90	41.94	2.763	2.74	3.56	0.123	0.054	0.406	1.4	3.12	33.01	63.88	9.420	-0.264	0.971	2.147	7.35	-0.23	0.90	1.151	5.10	7.11	7.96	9.73	2.9	69.7	25.6	1.9	5	2.39	15.70	0.00	0.00	4.551	0.165
2.00	42.21	2.768	2.74	4.16	0.126	0.054	0.387	0.8	1.94	34.00	64.06	9.463	-0.221	0.916	2.022	7.41	-0.19	0.86	1.110	5.68	7.25	8.04	9.73	3.4	70.0	25.4	1.2	6	2.79	15.76	0.00	0.00	4.581	0.245
2.10	42.12	2.772	2.75	3.43	0.112	0.053	0.438	0.4	1.03	37.57	61.40	9.373	-0.199	0.852	2.031	7.34	-0.17	0.83	1.130	5.80	7.10	7.85	9.64	3.0	66.6	29.4	1.0	7	2.72	14.60	2.00	0.02	4.506	0.362
2.20	42.64	2.768	2.74	2.52	0.114	0.055	0.409	0.4	1.92	37.78	60.30	9.270	-0.217	0.857	2.131	7.27	-0.14	0.85	1.123	5.46	6.88	7.68	9.57	2.9	70.5	26.6	0.0	6	2.77	16.03	4.00	0.08	4.331	0.298
2.30	41.68	2.771	2.75	5.42	0.112	0.053	0.391	1.0	1.80	37.17	61.02	9.320	-0.207	0.852	2.084	7.29	-0.15	0.84	1.107	5.61	6.99	7.74	9.60	4.2	66.0	27.9	1.9	8	2.60	17.13	2.00	0.04	4.467	0.412
2.40	41.84	2.750	2.73	4.79	0.119	0.055	0.589	1.0	1.55	36.78	61.67	9.310	-0.218	0.846	2.103	7.23	-0.15	0.84	1.122	5.61	6.93	7.73	9.62	5.0	68.6	25.6	0.9	7	2.24	20.68	4.00	0.06	4.401	0.253
2.50	42.43	2.763	2.74	2.51	0.111	0.055	0.565	1.4	2.91	34.15	62.94	9.390	-0.251	0.933	2.136	7.36	-0.19	0.87	1.136	5.24	7.06	7.89	9.70	3.4	73.8	21.2	1.6	7	2.88	21.55	0.00	0.00	4.426	0.144
2.60	41.96	2.745	2.72	2.16	0.100	0.056	0.647	3.4	5.08	34.35	60.57	9.197	-0.307	1.030	2.416	7.25	-0.18	0.82	1.153	3.94	6.66	7.61	9.57	3.9	72.4	23.2	0.5	6	2.17	19.16	2.00	0.10	4.491	0.093
2.70	39.54	2.759	2.74	7.14	0.102	0.054	0.454	3.2	5.35	42.30	52.35	8.717	-0.245	0.851	2.603	6.86	0.04	0.78	1.201	3.71	5.86	6.64	9.08	3.9	73.6	21.3	1.2	6	2.59	18.72	2.00	0.11	4.595	-0.120
2.80	39.50	2.741	2.72	3.93	0.079	0.060	0.450	1.2	3.47	44.74	51.79	8.620	-0.223	0.726	2.576	6.57	0.13	0.80	1.297	4.36	5.59	6.32	9.05	3.4	79.4	15.6	1.7	6	2.40	20.73	10.00	0.35	3.934	0.378
2.90	49.88	2.697	2.67	0.51	0.088	0.070	0.552	0.6	2.65	49.07	48.28	8.533	-0.132	0.732	2.486	6.68	0.06	0.79	1.302	4.59	5.69	6.39	8.78	9.0	80.4	5.1	5.5	14	2.38	31.77	34.00	0.90	4.035	0.491
