Depth, sediment [m]	Sand [%]	Silt [%]	Clay [%]
0	48.39	42.90	8.72
0.05	38.76	18.57	42.66
0.07	48.17	42.74	9.10
0.09	31.58	37.93	30.49
0.12	24.95	26.09	48.95
0.16	13.29	24.67	62.04
0.21	40.69	36.17	23.14
0.25	17.42	48.40	34.18
0.36	49.85	18.28	31.87
0.39	29.27	12.20	58.52
0.44	47.18	16.33	36.49
0.47	20.72	37.53	41.75
0.5	14.42	24.29	61.29
0.55	44.08	43.75	12.17
0.6	12.93	49.55	37.52
0.65	19.94	22.06	58.00
0.7	22.91	34.87	42.22
0.75	28.43	10.30	61.26
0.8	23.09	17.56	59.35
0.85	38.79	27.37	33.84
0.9	18.26	42.48	39.26
0.95	25.68	8.40	65.92
1	12.15	45.94	41.92
